Year,State,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,Insolvent?,R2_NextYear,R1_normal,R2_normal,R3_normal,R4_normal,R5_normal,R6_normal,R7_normal,R8_normal,R9_normal,R10_normal,R11_normal,R12_normal,R13_normal
2006,OH,20,18,14,0,6,3.5,13,13,72,0,-4,-7,-5,Solvent,18,1,1,1,1,1,1,1,1,1,1,1,1,1
2007,OH,20,18,16,0,0,4.2,16,16,71,0,-4,-6,-4,Solvent,18,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,OH,20,18,17,0,0,4.5,15,15,70,0,-3,-6,-4,Solvent,16,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,OH,18,16,1,0,0,3.4,12,12,71,0,-4,-5,-4,Solvent,4,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,OH,6,4,-74,0,6,2.4,1,1,67,0,-3,-5,-6,Solvent,5,1,1,0,1,1,0,1,1,1,1,1,1,1
2011,OH,8,5,26,0,55,2,1,1,63,0,-4,-5,0,Solvent,6,1,1,1,1,1,0,1,1,1,1,1,1,1
2012,OH,8,6,19,0,71,1.7,0,0,60,0,-4,-6,0,Solvent,6,1,1,1,1,1,0,1,1,1,1,1,1,1
2013,OH,8,6,6,0,79,1.1,0,0,60,0,-5,-6,0,Solvent,7,1,1,1,1,1,0,1,1,1,1,1,1,1
2014,OH,8,7,4,0,82,0.9,1,1,59,0,-6,-8,0,Solvent,7,1,1,1,1,1,0,1,1,1,1,1,1,1
2015,OH,8,7,5,0,77,0.8,1,1,59,0,-6,-9,0,Solvent,7,1,1,1,1,1,0,1,1,1,1,1,1,1
2009,CA,0,0,0,0,0,3.9,-55,-55,67,0,-9,-5,0,Solvent,0,1,1,1,1,1,1,0,0,1,1,1,1,1
2013,CA,66,66,999,0,64,0,13,13,85,12,0,-935,0,Solvent,99,1,1,0,1,1,0,1,1,1,1,1,1,1
2014,CA,99,99,100,0,61,0,34,34,95,8,-290,0,-513,Solvent,86,1,1,0,1,1,0,1,0,1,1,1,1,1
2015,CA,86,86,16,0,58,0,34,34,89,6,-269,-716,-171,Solvent,71,1,1,1,1,1,0,1,0,1,1,1,1,1
2007,NY,1,1,999,0,999,4.6,-1,-1,14,1,14,23,0,Solvent,1,1,1,0,1,0,1,1,1,1,1,1,0,1
2008,NY,1,1,-2,0,0,4.8,3,3,12,2,1,14,0,Solvent,3,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,NY,3,3,453,0,0,4.5,4,4,11,2,11,12,0,Solvent,0,1,1,0,1,1,1,1,1,1,1,1,1,1
2010,NY,0,0,-96,0,0,4,2,2,12,2,0,11,0,Solvent,0,1,1,0,1,1,1,1,1,1,1,1,1,1
2011,NY,1,0,-6,0,0,3.7,4,4,11,2,-1,-1,0,Solvent,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,NY,8,0,-55,0,0,3.4,2,2,19,2,1,0,0,Solvent,0,1,1,0,1,1,1,1,1,1,1,1,1,1
2013,NY,13,0,67,0,0,3.2,2,2,11,2,0,1,0,Solvent,0,1,1,0,1,1,1,1,1,1,1,1,1,1
2014,NY,10,0,41,0,0,2.7,1,1,16,3,1,2,0,Solvent,0,1,1,0,1,1,0,1,1,1,1,1,1,1
2015,NY,12,0,-89,0,0,2.6,0,0,19,1,-2,0,0,Solvent,0,1,1,0,1,1,0,1,1,1,1,1,1,1
2006,NV,144,142,0,0,88,4.1,8,8,48,0,1,5,-8,Insolvent,101,1,1,1,1,1,1,1,1,1,1,1,1,1
2007,NV,104,101,-9,0,86,4.4,28,28,42,0,-3,0,-6,Solvent,92,1,1,1,1,1,1,1,0,1,1,1,1,1
2008,NV,94,92,-10,0,84,5,-2,-2,45,0,5,-1,-3,Solvent,92,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,NV,93,92,-3,0,88,4.3,-3,-3,47,0,5,7,-2,Solvent,81,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,NV,83,81,-11,0,89,4.8,1,1,45,0,2,5,-3,Solvent,74,1,1,1,1,1,1,1,1,1,1,1,1,1
2011,NV,74,74,-7,0,94,6.2,2,2,45,0,1,2,-5,Solvent,70,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,NV,71,70,-8,0,97,3.2,-3,-3,42,0,-4,-2,-2,Solvent,72,1,1,1,1,1,1,1,1,1,1,1,1,1
2013,NV,72,72,-2,0,94,2.4,-3,-3,39,1,-4,-6,3,Solvent,89,1,1,1,1,1,0,1,1,1,1,1,1,1
